,id,name,artist_name
75,1h35gJ2DkgDcXpKyyZKKc2,Turn,The Wombats
76,7mdNKXxia7AeSuJqjjA2rb,Beautiful People (feat. Benny Benassi),Various Artists
77,3QRqzF6rX9nZbTGQvBU5bN,Lemon to a Knife Fight,The Wombats
78,05CYbac1l9YGPuZFDSgK0w,Beautiful,EVISBEATS
79,3LHbKjTCWQ0mANl2qeT3ca,Beautiful People (Workout Remix),Various Artists
80,0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),Post Malone
81,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith
82,6cIYFBwTv4JGpX7wOk5VIu,Goodbyes (feat. Young Thug),Post Malone
83,3GKKCjidbffsVOECWr4eHV,No Goodbyes,LÉON
84,4CYBfRX3oEPni9Elqm8Bnt,Goodbyes,Jorja Smith
85,1JhuXhMiTBavuRXQTsGOdV,Too Good At Goodbyes - Acoustic,Sam Smith
86,5vBFDwuLeytx1S5z0C1dD3,Too Good At Goodbyes,Sofia Karlberg
87,73iA9tbFNvev9M8Q83Q93D,Too Good At Goodbyes - Galantis Remix,Sam Smith
88,6Mmfn16y9FPXhjvneVFE9e,Goodbyes,Joachim Pastor
89,2DqT8BvUQzpsHMNefNUJYJ,Too Good at Goodbyes,Michkey Efronneu
90,7lHW3IidYMvcyYyb5E3l5a,Last Goodbyes,Reo Cragun
91,17YSKSaoYU6rBUKcUoQr6Y,Too Good at Goodbyes,Kurt Hugo Schneider
92,0lazFQfhuD9CDjkceTIj9E,Too Good At Goodbyes,Anna Kitkowska
93,348rQYyCrKDSVrASowBtIy,Too good at goodbyes,Bars and Melody
94,0hzRfVBqqUCkChomoOFUxc,Too Good at Goodbyes (feat. Corey Nyell),Anth
95,5jjTAOsYbCGRkrBHEUSeUZ,Goodbyes (Workout Remix),Various Artists
96,7xbuHCKBnxK6EJGwvD98Xt,Goodbyes,Steady NY$e
97,2TEKQmhKPX4unCG45WreuD,Too Good At Goodbyes,Neneh Yacobi
98,7rx0GJCo5EvOXVcIzwHxsI,Too Good at Goodbyes,Luciana Zogbi
99,7cZsiuD58EmimoXQQ5FyPH,Too Good at Goodbyes,Anana Gallo
100,2p1M2OHMYCMeiperQgUmLY,I Don't Care,Hearts & Colors
101,0XDiNawpeVZkEBy3CgzHq8,I Don't Care,Jordan Elliott
102,3wuCCNCnBhJlwkIJTBZFiv,They Don't Care About Us,Michael Jackson
103,7a7wbihbtKPnMCq17iECek,on god,bbno$
104,1IhMuuTCpO0K7BM2MmIZ0w,shining on my ex,bbno$
105,1SbMoPxVg1vZJw2w8YVoKq,I DON'T CARE,Quadeca
106,3VaJpVf2jc9by82sJDIKzy,bad thoughts,bbno$
107,6npKFnNEMN65CrS2BYf9nd,I Don't Care - Acoustic Version,Jonah Baker
108,6B2517C1r5C4nihT94D2Cb,Now I Don't Care,Unlike Pluto
109,04tGB3iBg3EFjmHt7XmOoO,Man Don't Care,Jme
110,3cW6kTvpXILa5ONk24ApoV,I Don't Care,Vibe2Vibe
111,26VG1uCazw9xtVnq8A1vtd,I Don't Care,Fall Out Boy
112,2WPF8VqaTt5EQSbOAiTdN2,I Don't Care - Acoustic,Tyler Ward
113,2LectgQgfLY3b0U49qKRCp,I Don't Care,Kurt Hugo Schneider
114,7MdenVOyOCRoxbgPpjEiAL,They Don't Care About Us - Remastered Version,Michael Jackson
115,5v7ZDlIs3NppqALpTeWWHS,Cause I Don't Care When I'm with My Baby,Max Mazing
116,1uxDHAH3cPPg5tmzcoDAIH,make up,POORSTACY
117,7KRnJW2x33Mb84NavoKmbh,I Don't Care (feat. Adam Gontier),Apocalyptica
118,6HbGKJJqQ67K2TwzOndeTj,I Don't Care,NAV
119,2Jo2427T1KQJxM5fERv3oT,I Don't Care at All,Lucy Alvaro
120,1lOe9qE0vR9zwWQAOk6CoO,Ransom,Lil Tecca
121,2WsuSYJNXGKXVYkHPnq2yp,Ransom (with Juice WRLD) - Remix,Lil Tecca
122,5MLreTrtwv7fGyyAy0RyeB,See Me Fall - Y2K Remix,Ro Ransom
123,3A2OHirUAlQp2x73BJlEDA,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",Mike WiLL Made-It
